id,x_m,y_m
A,455.000,-460.000
B,455.000,455.000
C,399.667,455.000
D,399.667,-460.000
E,344.333,-460.000
F,344.333,455.000
G,289.000,455.000
H,289.000,-460.000
I,233.667,-460.000
J,233.667,455.000
K,178.333,455.000
L,178.333,-460.000
M,123.000,-460.000
N,123.000,455.000
O,67.667,455.000
P,67.667,-460.000
Q,12.333,-460.000
R,12.333,455.000
S,-43.000,455.000
T,-43.000,-460.000
U,-98.333,-460.000
V,-98.333,455.000
W,-153.667,455.000
X,-153.667,-460.000
Y,-209.000,-460.000
Z,-209.000,455.000
AA,-264.333,455.000
AB,-264.333,-460.000
AC,-319.667,-460.000
AD,-319.667,455.000
AE,-375.000,455.000
AF,-375.000,-460.000
